"id","tier","wins","losses","freshblood","rank"
7790,"PLATINUM",48,44,0,1
7791,"PLATINUM",48,34,0,1
7792,"PLATINUM",63,45,0,1
7793,"PLATINUM",106,92,0,1
7794,"PLATINUM",50,51,0,1
7795,"PLATINUM",40,39,0,1
7796,"PLATINUM",46,42,0,1
7797,"PLATINUM",56,56,0,1
7798,"PLATINUM",22,12,0,1
7799,"PLATINUM",55,38,0,1
7800,"PLATINUM",49,48,0,1
7801,"PLATINUM",79,82,0,1
7802,"PLATINUM",38,34,0,1
7803,"PLATINUM",49,44,0,1
7804,"PLATINUM",71,56,0,1
7805,"PLATINUM",65,50,0,1
7806,"PLATINUM",68,72,0,1
7807,"PLATINUM",48,38,0,1
7808,"PLATINUM",30,19,0,1
7809,"PLATINUM",125,114,0,1
7810,"PLATINUM",26,14,0,1
7811,"PLATINUM",71,54,0,1
7812,"PLATINUM",70,50,0,1
7813,"PLATINUM",55,46,0,1
7814,"PLATINUM",36,24,0,1
7815,"PLATINUM",64,50,0,1
7816,"PLATINUM",126,130,0,1
7817,"PLATINUM",38,23,0,1
7818,"PLATINUM",54,46,0,1
7819,"PLATINUM",135,123,0,1
7820,"PLATINUM",51,48,0,1
7821,"PLATINUM",36,30,0,1
7822,"PLATINUM",54,47,0,1
7823,"PLATINUM",30,19,0,1
7824,"PLATINUM",35,25,0,1
7825,"PLATINUM",28,14,0,1
7826,"PLATINUM",42,35,0,1
7827,"PLATINUM",55,49,0,1
7828,"PLATINUM",50,37,0,1
7829,"PLATINUM",61,49,0,1
7830,"PLATINUM",69,68,0,1
7831,"PLATINUM",105,100,0,1
7832,"PLATINUM",61,62,0,1
7833,"PLATINUM",40,31,0,1
7834,"PLATINUM",66,66,0,1
7835,"PLATINUM",55,51,0,1
7836,"PLATINUM",22,6,1,1
7837,"PLATINUM",32,24,0,1
7838,"PLATINUM",99,100,0,1
7839,"PLATINUM",34,22,0,1
7840,"PLATINUM",74,63,0,1
7841,"PLATINUM",82,72,0,1
7842,"PLATINUM",54,53,0,1
7843,"PLATINUM",46,30,0,1
7844,"PLATINUM",134,141,0,1
7845,"PLATINUM",26,14,0,1
7846,"PLATINUM",29,13,0,1
7847,"PLATINUM",59,53,0,1
7848,"PLATINUM",62,62,0,1
7849,"PLATINUM",58,40,0,2
7850,"PLATINUM",41,41,0,2
7851,"PLATINUM",36,33,0,2
7852,"PLATINUM",37,27,0,2
7853,"PLATINUM",42,42,0,2
7854,"PLATINUM",42,35,0,2
7855,"PLATINUM",26,17,0,2
7856,"PLATINUM",43,41,0,2
7857,"PLATINUM",41,33,0,2
7858,"PLATINUM",65,58,0,2
7859,"PLATINUM",77,66,0,2
7860,"PLATINUM",38,26,0,2
7861,"PLATINUM",79,72,1,2
7862,"PLATINUM",18,7,0,2
7863,"PLATINUM",27,20,0,2
7864,"PLATINUM",62,60,0,2
7865,"PLATINUM",42,35,0,2
7866,"PLATINUM",44,42,0,2
7867,"PLATINUM",76,69,0,2
7868,"PLATINUM",33,26,0,2
7869,"PLATINUM",37,36,0,2
7870,"PLATINUM",173,161,0,2
7871,"PLATINUM",141,150,0,2
7872,"PLATINUM",148,134,0,2
7873,"PLATINUM",26,15,0,2
7874,"PLATINUM",117,116,0,2
7875,"PLATINUM",64,57,0,2
7876,"PLATINUM",92,82,0,2
7877,"PLATINUM",43,38,0,2
7878,"PLATINUM",17,7,0,2
7879,"PLATINUM",46,38,0,2
7880,"PLATINUM",53,54,0,2
7881,"PLATINUM",65,59,0,2
7882,"PLATINUM",46,33,0,2
7883,"PLATINUM",48,51,0,2
7884,"PLATINUM",122,117,0,2
7885,"PLATINUM",23,18,0,2
7886,"PLATINUM",72,59,0,2
7887,"PLATINUM",33,38,0,2
7888,"PLATINUM",48,37,0,2
7889,"PLATINUM",49,50,0,2
7890,"PLATINUM",36,26,0,2
7891,"PLATINUM",87,76,0,2
7892,"PLATINUM",66,67,0,2
7893,"PLATINUM",71,69,0,2
7894,"PLATINUM",35,20,0,2
7895,"PLATINUM",40,34,0,2
7896,"PLATINUM",55,47,0,2
7897,"PLATINUM",33,27,0,2
7898,"PLATINUM",38,36,0,2
7899,"PLATINUM",53,44,0,2
7900,"PLATINUM",43,39,0,2
7901,"PLATINUM",65,70,0,2
7902,"PLATINUM",30,22,0,2
7903,"PLATINUM",34,28,0,2
7904,"PLATINUM",61,56,0,2
7905,"PLATINUM",81,79,0,2
7906,"PLATINUM",55,43,0,2
7907,"PLATINUM",78,76,0,2
7908,"PLATINUM",28,22,0,2
7909,"PLATINUM",91,85,0,2
7910,"PLATINUM",102,87,0,2
7911,"PLATINUM",31,19,0,2
7912,"PLATINUM",100,86,0,2
7913,"PLATINUM",90,77,0,2
7914,"PLATINUM",33,28,0,2
7915,"PLATINUM",84,90,0,2
7916,"PLATINUM",15,3,0,2
7917,"PLATINUM",53,49,0,2
7918,"PLATINUM",86,95,0,2
7919,"PLATINUM",75,78,0,2
