"id","tier","wins","losses","freshblood","rank"
7176,"IRON",2,3,0,1
7177,"IRON",2,7,0,1
7178,"IRON",4,3,0,1
7179,"IRON",1,4,0,1
7180,"IRON",2,3,0,1
7181,"IRON",3,2,0,1
7182,"IRON",2,3,0,1
7183,"IRON",2,3,0,2
7184,"IRON",1,7,0,2
7185,"IRON",1,5,0,2
7186,"IRON",1,7,0,2
7187,"IRON",1,5,0,2
7188,"IRON",0,5,0,2
7189,"IRON",2,8,0,2
7190,"IRON",2,8,1,2
7191,"IRON",0,5,0,2
7192,"IRON",1,4,0,2
7193,"IRON",1,4,0,2
7194,"IRON",1,5,0,2
7195,"IRON",2,4,0,2
7196,"IRON",1,4,0,2
7197,"IRON",0,5,0,2
7198,"IRON",0,5,0,2
7199,"IRON",2,6,1,2
7200,"IRON",2,3,0,2
7201,"IRON",2,4,0,2
7202,"IRON",2,3,1,2
7203,"IRON",1,4,0,2
7204,"IRON",1,4,0,2
7205,"IRON",1,4,0,2
7206,"IRON",2,3,0,2
7207,"IRON",1,7,0,2
7208,"IRON",1,4,0,2
7209,"IRON",1,5,0,2
7210,"IRON",1,4,0,2
7211,"IRON",0,5,0,2
7212,"IRON",1,8,0,2
7213,"IRON",2,12,0,2
7214,"IRON",1,5,0,2
7215,"IRON",1,4,0,2
7216,"IRON",0,5,0,2
7217,"IRON",1,5,0,2
7218,"IRON",1,5,0,2
7219,"IRON",2,3,0,2
7220,"IRON",1,4,0,2
7221,"IRON",2,5,1,2
7222,"IRON",1,11,0,2
7223,"IRON",2,3,0,2
7224,"IRON",1,4,0,2
7225,"IRON",0,5,0,2
7226,"IRON",1,4,0,2
7227,"IRON",1,6,0,2
7228,"IRON",2,3,0,2
7229,"IRON",0,5,0,2
7230,"IRON",2,5,0,2
7231,"IRON",2,6,0,2
7232,"IRON",2,3,0,2
7233,"IRON",2,6,0,2
7234,"IRON",2,11,0,2
7235,"IRON",1,7,0,2
7236,"IRON",1,4,0,2
7237,"IRON",1,4,0,2
7238,"IRON",1,7,0,2
7239,"IRON",2,3,0,2
7240,"IRON",2,7,0,2
7241,"IRON",1,4,1,2
7242,"IRON",1,4,0,2
7243,"IRON",1,4,0,2
7244,"IRON",1,7,0,2
7245,"IRON",2,4,0,2
7246,"IRON",1,4,0,2
7247,"IRON",2,3,0,2
7248,"IRON",2,4,1,2
7249,"IRON",1,4,0,2
7250,"IRON",1,4,0,2
7251,"IRON",1,4,0,2
7252,"IRON",1,4,0,2
7253,"IRON",0,5,0,2
7254,"IRON",1,12,0,2
7255,"IRON",1,6,0,2
7256,"IRON",0,5,0,2
7257,"IRON",2,4,0,2
7258,"IRON",0,5,0,2
7259,"IRON",0,5,0,2
7260,"IRON",0,5,0,2
7261,"IRON",1,4,0,2
7262,"IRON",2,4,0,2
7263,"IRON",2,7,0,2
7264,"IRON",0,5,0,2
7265,"IRON",2,3,0,2
7266,"IRON",2,4,0,2
7267,"IRON",2,4,0,2
7268,"IRON",1,5,0,2
7269,"IRON",0,5,0,2
7270,"IRON",0,10,0,2
7271,"IRON",2,4,0,2
7272,"IRON",1,5,0,2
7273,"IRON",1,4,0,2
7274,"IRON",1,4,0,2
7275,"IRON",2,3,0,2
7276,"IRON",1,4,0,2
7277,"IRON",2,3,0,2
7278,"IRON",1,6,0,2
7279,"IRON",0,5,0,2
7280,"IRON",0,5,0,2
7281,"IRON",1,5,0,2
7282,"IRON",0,5,0,2
7283,"IRON",0,5,0,2
7284,"IRON",1,4,0,2
7285,"IRON",1,5,0,2
7286,"IRON",2,5,0,2
7287,"IRON",1,5,0,2
7288,"IRON",2,5,0,2
7289,"IRON",1,6,0,2
7290,"IRON",0,5,0,2
7291,"IRON",0,5,0,2
7292,"IRON",1,6,0,2
7293,"IRON",1,5,0,2
7294,"IRON",1,6,0,2
7295,"IRON",1,4,0,2
7296,"IRON",0,5,0,2
7297,"IRON",2,5,0,2
7298,"IRON",2,4,0,2
7299,"IRON",0,5,0,2
7300,"IRON",0,5,0,2
7301,"IRON",2,5,0,2
7302,"IRON",3,10,0,2
7303,"IRON",0,5,0,2
7304,"IRON",1,4,0,2
7305,"IRON",1,5,0,2
7306,"IRON",1,4,0,2
7307,"IRON",3,2,0,2
7308,"IRON",1,7,0,2
7309,"IRON",0,5,0,2
7310,"IRON",2,3,0,2
7311,"IRON",1,4,0,2
7312,"IRON",4,8,0,2
7313,"IRON",4,6,0,2
7314,"IRON",1,6,0,2
7315,"IRON",1,7,0,2
7316,"IRON",3,11,0,2
7317,"IRON",1,6,0,2
7318,"IRON",0,5,0,2
7319,"IRON",0,5,0,2
7320,"IRON",1,6,0,2
7321,"IRON",2,4,0,2
7322,"IRON",2,3,0,2
7323,"IRON",1,4,0,2
7324,"IRON",2,12,0,2
7325,"IRON",1,9,0,2
7326,"IRON",0,5,0,2
7327,"IRON",0,5,0,2
7328,"IRON",1,4,0,2
7329,"IRON",2,4,0,2
7330,"IRON",1,4,0,2
7331,"IRON",0,5,0,2
7332,"IRON",1,5,0,2
7333,"IRON",2,3,0,2
7334,"IRON",1,6,1,2
7335,"IRON",3,3,0,2
7336,"IRON",1,4,0,2
7337,"IRON",2,4,0,2
7338,"IRON",2,6,0,2
7339,"IRON",2,6,0,2
7340,"IRON",2,13,0,2
7341,"IRON",2,5,1,2
7342,"IRON",1,7,0,2
7343,"IRON",1,4,0,2
7344,"IRON",1,10,0,2
7345,"IRON",1,5,0,2
7346,"IRON",0,5,0,2
7347,"IRON",1,4,0,2
7348,"IRON",2,5,0,2
7349,"IRON",3,8,0,2
7350,"IRON",1,4,0,2
7351,"IRON",1,5,0,2
7352,"IRON",0,5,0,2
7353,"IRON",0,5,0,2
7354,"IRON",1,4,0,2
7355,"IRON",2,3,0,2
7356,"IRON",0,5,0,2
7357,"IRON",2,3,1,2
7358,"IRON",2,4,0,2
7359,"IRON",2,6,0,2
7360,"IRON",0,5,0,2
7361,"IRON",1,8,0,2
7362,"IRON",0,5,0,2
7363,"IRON",1,5,1,2
7364,"IRON",0,5,0,2
7365,"IRON",1,6,0,2
7366,"IRON",2,3,0,2
7367,"IRON",1,4,0,2
7368,"IRON",0,5,0,2
7369,"IRON",0,5,0,2
7370,"IRON",1,5,0,2
7371,"IRON",1,4,0,2
7372,"IRON",1,4,0,2
7373,"IRON",1,5,0,2
7374,"IRON",0,5,0,2
7375,"IRON",1,4,0,2
7376,"IRON",2,7,0,2
7377,"IRON",1,5,0,2
7378,"IRON",1,5,0,2
7379,"IRON",0,5,0,2
7380,"IRON",1,6,0,2
7381,"IRON",1,9,0,2
7382,"IRON",1,7,0,2
7383,"IRON",0,5,0,2
7384,"IRON",1,10,0,2
7385,"IRON",2,6,0,2
7386,"IRON",1,8,0,2
7387,"IRON",2,5,0,2
7388,"IRON",0,7,0,3
7389,"IRON",0,10,0,3
7390,"IRON",0,7,0,3
7391,"IRON",0,6,0,3
7392,"IRON",1,15,0,3
7393,"IRON",0,8,0,3
7394,"IRON",0,6,0,3
7395,"IRON",0,6,0,3
7396,"IRON",0,6,0,3
7397,"IRON",0,6,0,3
7398,"IRON",0,6,0,3
7399,"IRON",0,7,0,3
7400,"IRON",1,8,0,3
7401,"IRON",0,6,0,3
7402,"IRON",0,7,0,3
7403,"IRON",0,7,0,3
7404,"IRON",0,8,0,3
7405,"IRON",0,6,0,3
7406,"IRON",0,6,0,3
7407,"IRON",0,6,0,3
7408,"IRON",3,18,0,3
7409,"IRON",0,7,0,3
7410,"IRON",0,10,0,3
7411,"IRON",0,7,0,3
7412,"IRON",0,6,0,3
7413,"IRON",0,6,0,3
7414,"IRON",0,6,0,3
7415,"IRON",0,6,0,3
7416,"IRON",0,6,0,3
7417,"IRON",0,7,0,3
7418,"IRON",0,11,0,3
7419,"IRON",0,8,0,3
7420,"IRON",0,12,0,3
7421,"IRON",0,7,0,3
7422,"IRON",0,6,0,3
7423,"IRON",0,7,0,3
7424,"IRON",0,11,0,3
7425,"IRON",1,9,0,3
7426,"IRON",0,8,0,3
7427,"IRON",0,6,0,3
7428,"IRON",0,12,0,3
7429,"IRON",0,6,0,3
7430,"IRON",1,12,0,3
7431,"IRON",1,9,0,3
7432,"IRON",0,6,0,3
7433,"IRON",1,10,0,3
7434,"IRON",0,10,0,3
7435,"IRON",0,7,0,3
7436,"IRON",0,7,0,3
7437,"IRON",0,11,0,3
7438,"IRON",0,6,0,3
7439,"IRON",0,7,0,3
7440,"IRON",0,10,0,3
7441,"IRON",0,6,0,3
7442,"IRON",0,6,0,3
7443,"IRON",1,9,0,3
7444,"IRON",0,10,0,3
7445,"IRON",0,8,0,3
7446,"IRON",1,17,0,3
7447,"IRON",0,6,0,3
7448,"IRON",0,6,0,3
7449,"IRON",0,6,0,3
7450,"IRON",0,6,0,3
7451,"IRON",0,7,0,3
7452,"IRON",3,29,0,3
7453,"IRON",0,6,0,3
7454,"IRON",0,6,0,3
7455,"IRON",0,7,1,3
7456,"IRON",0,6,0,3
7457,"IRON",0,9,0,3
7458,"IRON",1,12,0,3
7459,"IRON",0,6,0,3
7460,"IRON",1,18,0,3
7461,"IRON",0,6,0,3
7462,"IRON",0,6,0,3
7463,"IRON",0,7,0,3
7464,"IRON",1,6,0,3
7465,"IRON",0,8,0,3
7466,"IRON",0,7,0,3
7467,"IRON",0,6,0,3
7468,"IRON",1,15,0,3
7469,"IRON",1,11,0,3
7470,"IRON",0,13,0,3
7471,"IRON",0,6,0,3
7472,"IRON",1,7,0,3
7473,"IRON",0,7,0,3
7474,"IRON",0,6,0,3
7475,"IRON",0,10,0,3
7476,"IRON",6,49,0,3
7477,"IRON",0,6,0,3
7478,"IRON",1,13,0,3
7479,"IRON",0,6,0,3
7480,"IRON",0,7,0,3
7481,"IRON",0,13,0,3
7482,"IRON",0,7,0,3
7483,"IRON",0,6,0,3
7484,"IRON",0,6,0,3
7485,"IRON",0,6,0,3
7486,"IRON",0,9,0,3
7487,"IRON",0,6,0,3
7488,"IRON",0,8,0,3
7489,"IRON",0,12,0,3
7490,"IRON",0,6,0,3
7491,"IRON",0,6,0,3
7492,"IRON",0,6,0,3
7493,"IRON",0,6,0,3
7494,"IRON",0,6,0,3
7495,"IRON",0,6,0,3
7496,"IRON",0,10,0,3
7497,"IRON",0,6,0,3
7498,"IRON",1,11,0,3
7499,"IRON",0,6,0,3
7500,"IRON",0,6,0,3
7501,"IRON",0,7,0,3
7502,"IRON",0,8,0,3
